id,address,item_id,latitude,longitude,map_type,url,zoom_level
3441,san francisco,10585,37.7790262,-122.4199061,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3441,5
3442,kairouan,10603,35.6710101,10.10062,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3442,5
3443,madison,10726,43.074761,-89.3837613,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3443,5
3444,"westbury, new york",10594,40.7556561,-73.5876273,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3444,5
3445,frankfurt,10536,50.1106444,8.6820917,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3445,5
3446,washington dc,9419,38.8949855,-77.0365708,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3446,5
3447,"Cripple Creek, CO",10730,38.7466555,-105.1783149,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3447,5
3448,"Pine Bluff, AR",10731,34.2157064,-92.0140402,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3448,5
3449,"800 Amsterdam Ave, New York City",10733,40.796318,-73.9689476,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3449,11
3450,valldemossa,10734,39.7108465,2.6230264,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3450,5
3451,"Pottstown, PA",10735,40.2452976,-75.6496424,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3451,5
3452,"St. Louis, Missouri",134,38.6268039,-90.1994097,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3452,5
3453,"Ray, Arizona",842,33.1070069,-110.9631677,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3453,5
3454,yaqui,10574,27.6205426,-109.9369965,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3454,5
3455,"mirando city, texas",10736,27.4402291,-99.0010494,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3455,5
3456,minnesota,9106,45.9896587,-94.6113288,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3456,5
3457,st. paul,2162,44.9504037,-93.1015026,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3457,5
3458,st. paul,5836,44.9504037,-93.1015026,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3458,5
3459,chippewa county,10572,45.027661,-95.5314914,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3459,5
3460,Guysville,8186,39.2900746,-81.9234715,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3460,5
3461,guysville,9239,39.2900746,-81.9234715,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3461,5
3462,guysville,6980,39.2900746,-81.9234715,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3462,5
3463,guysville,6414,39.2900746,-81.9234715,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3463,5
3464,"springfield, ohio",8665,39.9242266,-83.8088172,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3464,5
3465,"springfield, ohio",8664,39.9242266,-83.8088172,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3465,5
3466,"wellsville, ohio",7057,40.6028419,-80.6489628,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3466,5
3467,guysville,9234,39.2900746,-81.9234715,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3467,5
3468,guysville,9240,39.2900746,-81.9234715,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3468,5
3469,guysville,9243,39.2900746,-81.9234715,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3469,5
3470,guysville,5998,39.2900746,-81.9234715,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3470,5
3471,"Indianapolis, Indiana",350,39.7683331,-86.1583502,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3471,5
3472,"detroit, mich",383,42.3315509,-83.0466403,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3472,5
3473,"Long Island, New York",387,40.85172235,-73.09921882199973,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3473,5
3476,"Dripping Springs, TX",10737,30.1902067,-98.0866781,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3476,5
3477,"starr county, texas",10696,26.5630409,-98.7479897,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3477,5
3478,egypt,10697,26.2540493,29.2675469,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3478,5
