Text,exhibit_id,exhibit_resource,exhibit_url,id,order,slug,title,url
<p>All these are tests </p>,2,exhibits,http://cannabismuseum.com/omeka/api/exhibits/2,1,0,page-1-from-exhibit,Page 1 from exhibit,http://cannabismuseum.com/omeka/api/exhibit_pages/1
<p>Think of each page is like a full interactive website exhibition</p>,2,exhibits,http://cannabismuseum.com/omeka/api/exhibits/2,2,1,page-2,Page 2,http://cannabismuseum.com/omeka/api/exhibit_pages/2
,2,exhibits,http://cannabismuseum.com/omeka/api/exhibits/2,3,2,3,3,http://cannabismuseum.com/omeka/api/exhibit_pages/3
